Image URL
"https://resources.finalsite.net/images/f_auto,q_auto/v1568664484/cathedralirish/gotcog3rnokdvuizafck/CathedralLogowhite.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_5/v1728409976/cathedralirish/rjsmvzvtji3vvgpiredl/HomepageFillerOctober2024.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_4/v1722448423/cathedralirish/n5o6m5ll4kkdgvm2duvx/ZealHomepageImage.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_5/v1728414022/cathedralirish/apywk8jph80fqn12zqkt/BecomingIrishHomepageBannerv2.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_2/v1729022248/cathedralirish/xkdnbdohtbbwua1cnnke/Classof2024CollegeBanners3.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_1/v1739454900/cathedralirish/xhvi8gqnwxt3z5j75ayc/IMG_96251.jpg"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_1/v1548360526/cathedralirish/btfnvzlavlypw9kkhuog/HolyCrossLogo.png"
"https://resources.finalsite.net/images/f_auto,q_auto/v1728499382/cathedralirish/buyulndez7eqgxhu6wqu/WebsiteFooter10924.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_1/v1565632496/cathedralirish/atyfbpbcuaglcqurziot/CHS_3cLogo_CircleExcellence.jpg"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_4/v1719239332/cathedralirish/yujrazqvp855jylcsmih/AdmissionsHeaderImageJune2024v2.png"
"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_2/v1719240974/cathedralirish/rpu4wq2rvbwom3joujye/CathedralHighSchool-073.jpg"
"https://resources.finalsite.net/images/f_auto,q_auto/v1631195993/cathedralirish/q0nxpzadhp7wzy0mayqy/Kathryn_ONeil.jpg"
"https://resources.finalsite.net/images/f_auto,q_auto/v1544168013/cathedralirish/vt00lgkzotwvpfifo9ht/Augenstein.jpg"
"https://resources.finalsite.net/images/f_auto,q_auto/v1662125589/cathedralirish/jyxqmn6ee1uoszdqknae/FatherPatBeidelmanHeadshotSept2022.png"
